filename,RA,Dec
1.161 -23.746_[0.00926455 0.00926455] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1610000000,-23.7460000000
1.166 -24.878_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1660000000,-24.8780000000
1.213 -24.959_[0.01059421 0.01059421] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2130000000,-24.9590000000
1.220 -24.566_[0.01322714 0.01322714] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2200000000,-24.5660000000
1.227 -24.340_[0.01404612 0.01404612] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2270000000,-24.3400000000
1.228 -24.668_[0.01083046 0.01083046] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2280000000,-24.6680000000
1.236 -24.883_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2360000000,-24.8830000000
1.240 -24.761_[0.00916352 0.00916352] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2400000000,-24.7610000000
1.244 -24.585_[0.01738804 0.01738804] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2440000000,-24.5850000000
1.244 -25.565_[0.01120461 0.01120461] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2440000000,-25.5650000000
1.245 -24.416_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2450000000,-24.4160000000
1.253 -24.665_[0.01531087 0.01531087] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2530000000,-24.6650000000
1.256 -24.689_[0.01169059 0.01169059] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2560000000,-24.6890000000
1.265 -25.605_[0.01252775 0.01252775] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2650000000,-25.6050000000
1.269 -65.782_[0.00942565 0.00942565] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.2690000000,-65.7820000000
1.272 -24.730_[0.06642913 0.06642913] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2720000000,-24.7300000000
1.279 -24.220_[0.01088174 0.01088174] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2790000000,-24.2200000000
1.287 -24.477_[0.01018297 0.01018297] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2870000000,-24.4770000000
1.315 -85.031_[0.009 0.009] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,1.3150000000,-85.0310000000
1.341 -24.436_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3410000000,-24.4360000000
1.342 -24.523_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3420000000,-24.5230000000
1.346 -24.176_[0.01423685 0.01423685] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3460000000,-24.1760000000
1.351 -24.564_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3510000000,-24.5640000000
1.359 -24.177_[0.00927302 0.00927302] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3590000000,-24.1770000000
1.359 -24.703_[0.00975442 0.00975442] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3590000000,-24.7030000000
1.370 -66.644_[0.02024136 0.02024136] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.3700000000,-66.6440000000
1.382 -24.037_[0.00957438 0.00957438] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3820000000,-24.0370000000
1.405 -24.369_[0.01477414 0.01477414] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4050000000,-24.3690000000
1.418 -24.622_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4180000000,-24.6220000000
1.423 -25.648_[0.00956703 0.00956703] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4230000000,-25.6480000000
1.430 -65.237_[0.0169252 0.0169252] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.4300000000,-65.2370000000
1.434 -25.128_[0.01095206 0.01095206] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4340000000,-25.1280000000
1.454 -25.024_[0.01076801 0.01076801] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4540000000,-25.0240000000
1.455 -25.149_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4550000000,-25.1490000000
1.456 -25.059_[0.01556475 0.01556475] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4560000000,-25.0590000000
1.477 -65.241_[0.01251094 0.01251094] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.4770000000,-65.2410000000
1.480 -85.604_[0.00918766 0.00918766] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,1.4800000000,-85.6040000000
1.483 -66.638_[0.01701239 0.01701239] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.4830000000,-66.6380000000
1.487 -24.821_[0.01340241 0.01340241] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4870000000,-24.8210000000
1.488 -24.458_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4880000000,-24.4580000000
1.499 -24.199_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4990000000,-24.1990000000
1.499 -24.777_[0.01353855 0.01353855] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4990000000,-24.7770000000
1.515 -25.121_[0.01551734 0.01551734] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5150000000,-25.1210000000
1.516 -66.097_[0.01564375 0.01564375] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.5160000000,-66.0970000000
1.547 -25.028_[0.01605038 0.01605038] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5470000000,-25.0280000000
1.558 -24.225_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5580000000,-24.2250000000
1.565 -25.033_[0.01569486 0.01569486] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5650000000,-25.0330000000
1.582 -24.623_[0.01314032 0.01314032] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5820000000,-24.6230000000
1.582 -25.092_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5820000000,-25.0920000000
1.588 -24.254_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5880000000,-24.2540000000
1.598 -24.318_[0.01191323 0.01191323] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5980000000,-24.3180000000
1.601 -24.638_[0.01318575 0.01318575] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6010000000,-24.6380000000
1.603 -23.633_[0.01062377 0.01062377] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6030000000,-23.6330000000
1.606 -24.897_[0.01073916 0.01073916] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6060000000,-24.8970000000
1.616 -25.142_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6160000000,-25.1420000000
1.618 -23.961_[0.01148629 0.01148629] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6180000000,-23.9610000000
1.632 -84.839_[0.01045223 0.01045223] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,1.6320000000,-84.8390000000
1.635 -25.363_[0.01160129 0.01160129] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6350000000,-25.3630000000
1.636 -66.133_[0.01183208 0.01183208] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.6360000000,-66.1330000000
1.641 -66.667_[0.00995377 0.00995377] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.6410000000,-66.6670000000
1.653 -25.118_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6530000000,-25.1180000000
1.661 -85.035_[0.01205387 0.01205387] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,1.6610000000,-85.0350000000
1.662 -25.216_[0.00954376 0.00954376] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6620000000,-25.2160000000
1.681 -25.080_[0.01333081 0.01333081] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6810000000,-25.0800000000
1.709 -24.527_[0.01062279 0.01062279] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7090000000,-24.5270000000
1.718 -25.116_[0.0148789 0.0148789] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7180000000,-25.1160000000
1.719 -25.171_[0.01094227 0.01094227] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7190000000,-25.1710000000
1.729 -24.160_[0.01370823 0.01370823] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7290000000,-24.1600000000
1.754 -66.308_[0.009 0.009] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.7540000000,-66.3080000000
1.759 -24.728_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7590000000,-24.7280000000
1.775 -65.945_[0.01745267 0.01745267] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.7750000000,-65.9450000000
1.785 -23.744_[0.0107165 0.0107165] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7850000000,-23.7440000000
1.789 -24.372_[0.01532844 0.01532844] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7890000000,-24.3720000000
1.789 -85.847_[0.01452388 0.01452388] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,1.7890000000,-85.8470000000
1.791 -65.965_[0.03997352 0.03997352] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.7910000000,-65.9650000000
1.791 -66.379_[0.009 0.009] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.7910000000,-66.3790000000
1.795 -25.216_[0.00903225 0.00903225] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7950000000,-25.2160000000
1.826 -25.260_[0.01483474 0.01483474] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8260000000,-25.2600000000
1.832 -24.780_[0.00970234 0.00970234] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8320000000,-24.7800000000
1.837 -24.804_[0.01298468 0.01298468] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8370000000,-24.8040000000
1.845 -24.848_[0.02168236 0.02168236] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8450000000,-24.8480000000
1.849 -24.317_[0.00969892 0.00969892] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8490000000,-24.3170000000
1.854 -66.647_[0.01637367 0.01637367] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.8540000000,-66.6470000000
1.867 -24.864_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8670000000,-24.8640000000
1.887 -24.777_[0.01100281 0.01100281] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8870000000,-24.7770000000
1.915 -25.148_[0.01226728 0.01226728] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9150000000,-25.1480000000
1.932 -66.932_[0.02064562 0.02064562] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.9320000000,-66.9320000000
1.934 -66.555_[0.02733104 0.02733104] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.9340000000,-66.5550000000
1.938 -66.289_[0.009 0.009] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.9380000000,-66.2890000000
1.939 -24.865_[0.0138255 0.0138255] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9390000000,-24.8650000000
1.944 -65.163_[0.009 0.009] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.9440000000,-65.1630000000
1.946 -24.669_[0.01286403 0.01286403] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9460000000,-24.6690000000
1.948 -25.364_[0.01179825 0.01179825] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9480000000,-25.3640000000
1.983 -66.519_[0.01584275 0.01584275] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.9830000000,-66.5190000000
10.009 -9.180_[0.01127176 0.01127176] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0090000000,-9.1800000000
10.016 -21.463_[0.02446085 0.02446085] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.0160000000,-21.4630000000
10.028 -9.522_[0.07644727 0.07644727] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0280000000,-9.5220000000
10.036 -9.286_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0360000000,-9.2860000000
10.036 -9.715_[0.01130418 0.01130418] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0360000000,-9.7150000000
10.042 -9.189_[0.01365502 0.01365502] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0420000000,-9.1890000000
10.051 -20.190_[0.01059905 0.01059905] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.0510000000,-20.1900000000
10.080 -21.530_[0.00982485 0.00982485] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.0800000000,-21.5300000000
10.084 -9.952_[0.01573948 0.01573948] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0840000000,-9.9520000000
10.102 -9.258_[0.01787943 0.01787943] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1020000000,-9.2580000000
10.111 -21.018_[0.009798 0.009798] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1110000000,-21.0180000000
10.116 -9.988_[0.01369082 0.01369082] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1160000000,-9.9880000000
10.122 -20.112_[0.06336693 0.06336693] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1220000000,-20.1120000000
10.124 -20.157_[0.00928075 0.00928075] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1240000000,-20.1570000000
10.125 -20.787_[0.02901688 0.02901688] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1250000000,-20.7870000000
10.127 -20.753_[0.01320776 0.01320776] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1270000000,-20.7530000000
10.127 -9.680_[0.00963288 0.00963288] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1270000000,-9.6800000000
10.128 -10.022_[0.09505659 0.09505659] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1280000000,-10.0220000000
10.128 -9.670_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1280000000,-9.6700000000
10.139 -19.941_[0.01419213 0.01419213] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1390000000,-19.9410000000
10.150 -8.838_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1500000000,-8.8380000000
10.164 -9.474_[0.0148498 0.0148498] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1640000000,-9.4740000000
10.176 -8.948_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1760000000,-8.9480000000
10.192 -20.711_[0.02444912 0.02444912] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1920000000,-20.7110000000
10.192 -9.693_[0.01002713 0.01002713] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1920000000,-9.6930000000
10.193 -8.716_[0.01072262 0.01072262] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1930000000,-8.7160000000
10.194 -9.233_[0.0106242 0.0106242] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1940000000,-9.2330000000
10.197 -9.211_[0.01049468 0.01049468] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1970000000,-9.2110000000
10.201 -20.728_[0.00949637 0.00949637] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2010000000,-20.7280000000
10.204 -9.810_[0.02064048 0.02064048] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2040000000,-9.8100000000
10.211 -20.753_[0.02828172 0.02828172] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2110000000,-20.7530000000
10.216 -8.905_[0.01174597 0.01174597] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2160000000,-8.9050000000
10.227 -20.542_[0.01072324 0.01072324] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2270000000,-20.5420000000
10.227 -9.020_[0.01017004 0.01017004] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2270000000,-9.0200000000
10.236 -20.709_[0.05102107 0.05102107] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2360000000,-20.7090000000
10.237 -9.237_[0.01363105 0.01363105] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2370000000,-9.2370000000
10.241 -9.087_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2410000000,-9.0870000000
10.246 -9.621_[0.0105351 0.0105351] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2460000000,-9.6210000000
10.248 -9.734_[0.01293576 0.01293576] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2480000000,-9.7340000000
10.248 -9.989_[0.01025365 0.01025365] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2480000000,-9.9890000000
10.259 -9.209_[0.01603182 0.01603182] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2590000000,-9.2090000000
10.260 -20.290_[0.01271955 0.01271955] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2600000000,-20.2900000000
10.267 -9.054_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2670000000,-9.0540000000
10.274 -9.408_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2740000000,-9.4080000000
10.277 -9.296_[0.01325186 0.01325186] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2770000000,-9.2960000000
10.290 -20.593_[0.00936843 0.00936843] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2900000000,-20.5930000000
10.303 -21.523_[0.00919908 0.00919908] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3030000000,-21.5230000000
10.305 -21.085_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3050000000,-21.0850000000
10.317 -20.518_[0.03330489 0.03330489] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3170000000,-20.5180000000
10.332 -20.556_[0.02732663 0.02732663] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3320000000,-20.5560000000
10.332 -9.391_[0.01175259 0.01175259] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3320000000,-9.3910000000
10.339 -9.055_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3390000000,-9.0550000000
10.350 -20.970_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3500000000,-20.9700000000
10.365 -9.704_[0.01331364 0.01331364] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3650000000,-9.7040000000
10.367 -8.844_[0.0354043 0.0354043] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3670000000,-8.8440000000
10.371 -9.375_[0.07388167 0.07388167] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3710000000,-9.3750000000
10.373 -20.211_[0.01198513 0.01198513] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3730000000,-20.2110000000
10.377 -9.263_[0.01283737 0.01283737] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3770000000,-9.2630000000
10.387 -9.466_[0.01469482 0.01469482] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3870000000,-9.4660000000
10.390 -20.332_[0.01811529 0.01811529] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3900000000,-20.3320000000
10.392 -9.920_[0.02684294 0.02684294] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3920000000,-9.9200000000
10.393 -8.268_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3930000000,-8.2680000000
10.398 -9.655_[0.03203601 0.03203601] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3980000000,-9.6550000000
10.406 -9.361_[0.01631456 0.01631456] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4060000000,-9.3610000000
10.419 -9.375_[0.01303159 0.01303159] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4190000000,-9.3750000000
10.430 -9.117_[0.01177523 0.01177523] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4300000000,-9.1170000000
10.431 -9.659_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4310000000,-9.6590000000
10.437 -9.444_[0.08304808 0.08304808] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4370000000,-9.4440000000
10.438 -9.464_[0.02149499 0.02149499] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4380000000,-9.4640000000
10.440 -20.459_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.4400000000,-20.4590000000
10.449 -9.117_[0.01185207 0.01185207] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4490000000,-9.1170000000
10.450 -9.278_[0.03314247 0.03314247] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4500000000,-9.2780000000
10.451 -9.346_[0.01056254 0.01056254] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4510000000,-9.3460000000
