filename,RA,Dec,label1,label2,label3,distance,source_type
1.548 -24.518_[0.01936676 0.01936676] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5482427500,-24.5176811900,FR II,,,0.0003878407,typical
1.557 -25.356_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5570345220,-25.3557977100,FR II,,,0.0002046814,typical
1.559 -24.687_[0.02087323 0.02087323] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5593981680,-24.6871751700,typical,,,0.0004019542,typical
1.582 -23.691_[0.02181868 0.02181868] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5815869550,-23.6911990600,FR II,,,0.0004274184,typical
1.587 -24.291_[0.01761722 0.01761722] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5874874660,-24.2913548200,typical,,,0.0005686017,typical
1.597 -23.559_[0.02755126 0.02755126] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5815869550,-23.6911990600,FR II,,,0.1329511212,typical
1.627 -25.351_[0.01472271 0.01472271] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5570345220,-25.3557977100,FR II,,,0.0634084394,typical
1.628 -25.044_[0.01912267 0.01912267] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6280391820,-25.0440766000,Bent,,,0.0000844244,typical
1.694 -24.342_[0.01215448 0.01215448] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7353882050,-24.3619784900,Bent,,,0.0426716896,typical
1.697 -24.143_[0.02672962 0.02672962] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.6972685580,-24.1428473600,FR II,,,0.0002887156,typical
1.707 -24.217_[0.02099468 0.02099468] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7072830260,-24.2174188400,FR II,,,0.0004919878,typical
1.710 -24.323_[0.01546735 0.01546735] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7353882050,-24.3619784900,Bent,,,0.0453251834,typical
1.713 -24.564_[0.02159111 0.02159111] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.5482427500,-24.5176811900,FR II,,,0.1568682139,typical
1.735 -24.362_[0.0163589 0.0163589] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.7353882050,-24.3619784900,Bent,,,0.0003542924,typical
1.807 -23.942_[0.01807368 0.01807368] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8074975580,-23.9423475100,FR II,,,0.0005723258,typical
1.852 -24.292_[0.01667947 0.01667947] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8524313970,-24.2918939300,FR I,,,0.0004072572,typical
1.879 -24.678_[0.0149286 0.0149286] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.8790363910,-24.6778264900,FR II,,,0.0001766321,typical
1.907 -24.347_[0.0150765 0.0150765] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9069853490,-24.3472925700,FR I,,,0.0002928755,typical
1.920 -24.624_[0.07004369 0.07004369] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9204988030,-24.6241067700,FR II,,,0.0004658444,typical
1.939 -25.291_[0.01138803 0.01138803] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.9391045890,-25.2906745000,FR I,,,0.0003389578,typical
10.004 -9.665_[0.00994257 0.00994257] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.0043736000,-9.6647411050,FR I,Bent,,0.0004501881,typical
10.113 -21.159_[0.04112685 0.04112685] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.1130606500,-21.1592239400,FR II,,,0.0002309722,typical
10.151 -8.887_[0.01100206 0.01100206] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1514517100,-8.8871830600,Bent,,,0.0004823723,typical
10.156 -9.125_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.1557585800,-9.1251990370,Bent,,,0.0003105378,typical
10.238 -9.427_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2384055900,-9.4269625760,FR II,,,0.0004018599,typical
10.240 -19.621_[0.02157783 0.02157783] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2397736800,-19.6211824000,FR II,,,0.0002805618,typical
10.278 -9.480_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.2779639500,-9.4795757620,Point Source,,,0.0004257258,typical
10.285 -20.344_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.2847708900,-20.3437843000,FR I,,,0.0003044227,typical
10.310 -9.220_[0.01217489 0.01217489] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3095052700,-9.2196807550,FR II,,,0.0005834311,typical
10.322 -19.805_[0.0173945 0.0173945] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3218587100,-19.8045418300,FR II,,,0.0004770655,typical
10.328 -20.476_[0.01424399 0.01424399] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3282210800,-20.4763572500,FR II,,,0.0004129441,typical
10.334 -20.402_[0.01022209 0.01022209] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3344167600,-20.4023876100,FR II,,,0.0005502934,typical
10.363 -21.046_[0.02879645 0.02879645] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.3631226700,-21.0459955800,FR I,,,0.0001145712,typical
10.368 -8.802_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3682998500,-8.8018123950,Point Source,,,0.0003507150,typical
10.369 -9.750_[0.01271615 0.01271615] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3688813300,-9.7498277980,Bent,,,0.0002081650,typical
10.383 -9.237_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.3825417400,-9.2371291810,Bent,,,0.0004704037,typical
10.419 -20.797_[0.03540887 0.03540887] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.4187218100,-20.7967810400,FR II,,,0.0003399660,typical
10.428 -9.453_[0.01624156 0.01624156] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.5333796600,-9.5423940020,FR II,,,0.1370904757,typical
10.496 -8.884_[0.01084469 0.01084469] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.4963896000,-8.8842249850,FR II,,,0.0004458538,typical
10.513 -20.495_[0.01030841 0.01030841] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.5125806300,-20.4953351500,FR II,,,0.0005163686,typical
10.525 -9.775_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.5245957000,-9.7746404290,Point Source,,,0.0005366923,typical
10.533 -9.542_[0.02403619 0.02403619] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.5333796600,-9.5423940020,FR II,,,0.0005435233,typical
10.593 -9.505_[0.00935779 0.00935779] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.5926779200,-9.5051527330,Bent,,,0.0003524669,typical
10.605 -9.452_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.6049210000,-9.4517900320,Point Source,,,0.0002239639,typical
10.625 -19.928_[0.01803484 0.01803484] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.6246074900,-19.9275681700,FR I,,,0.0005680175,typical
10.627 -20.245_[0.01095301 0.01095301] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.6269448400,-20.2445851300,FR I,,,0.0004180850,typical
10.627 -9.368_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.6267489700,-9.3675053340,Point Source,,,0.0005532097,typical
10.642 -9.927_[0.01190909 0.01190909] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.6424247100,-9.9265064780,FR I,,,0.0006469791,typical
10.649 -9.867_[0.04816773 0.04816773] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.6490362200,-9.8665179960,FR II,,,0.0004833234,typical
10.691 -9.370_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.6267489700,-9.3675053340,Point Source,,,0.0634430568,typical
10.693 -9.011_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.8672591700,-8.9643605210,Should be discarded,,,0.1783266613,typical
10.704 -20.568_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.7044670100,-20.5675536100,Point Source,,,0.0006248556,typical
10.734 -9.264_[0.03357063 0.03357063] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.7340198000,-9.2644598080,Bent,,,0.0004602228,typical
10.772 -20.660_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.7716972000,-20.6601982000,Point Source,,,0.0003457709,typical
10.785 -20.711_[0.01277045 0.01277045] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.7851962800,-20.7112405100,FR II,,,0.0003025769,typical
10.795 -9.439_[0.01419539 0.01419539] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.8614985900,-9.3912940510,FR II,,,0.0811146261,typical
10.819 -21.004_[0.0090925 0.0090925] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.8192026700,-21.0044282900,FR I,,,0.0004682199,typical
10.838 -19.839_[0.01033373 0.01033373] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.8382983100,-19.8388640300,FR I,,,0.0003118121,typical
10.844 -20.771_[0.01417436 0.01417436] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.8442773900,-20.7713875300,FR II,,,0.0004663121,typical
10.853 -20.592_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.8525275000,-20.5919329800,Bent,,,0.0004473603,typical
10.861 -9.391_[0.00936207 0.00936207] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.8614985900,-9.3912940510,FR II,,,0.0005730965,typical
10.875 -20.480_[0.01841859 0.01841859] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.8753703000,-20.4796773500,FR I,,,0.0004737505,typical
10.896 -9.388_[0.01156242 0.01156242] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.8957544000,-9.3880799770,FR II,,,0.0002551684,typical
10.903 -20.273_[0.01990954 0.01990954] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.9034487800,-20.2726151700,Bent,,,0.0005703668,typical
10.955 -8.602_[0.009 0.009] deg_(Abell_85_1pln-forPyBDSF.FITS).fits.png,10.9547307300,-8.6022064330,Point Source,,,0.0003368978,typical
10.969 -20.547_[0.009 0.009] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.9685215500,-20.5465637600,FR II,,,0.0006253179,typical
10.992 -20.381_[0.01464234 0.01464234] deg_(Abell_2813_1pln-forPyBDSF.FITS).fits.png,10.9924187200,-20.3811977100,FR II,,,0.0004394886,typical
100.029 -48.057_[0.01234394 0.01234394] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.0287431000,-48.0567343300,Bent,,,0.0003163298,typical
100.030 -54.481_[0.03070257 0.03070257] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.0301760000,-54.4814656300,Bent,,,0.0004767238,typical
100.054 -48.613_[0.009 0.009] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.0536722000,-48.6130783800,Bent,,,0.0002304604,typical
100.066 -47.584_[0.01560732 0.01560732] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.0659870000,-47.5839591900,Bent,,,0.0000417390,typical
100.073 -53.904_[0.01874161 0.01874161] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.0734479000,-53.9043996300,FR I,Bent,,0.0004788886,typical
100.080 -53.595_[0.01089755 0.01089755] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.2441436000,-53.5527894400,Point Source,,,0.1062137689,typical
100.097 -47.694_[0.009 0.009] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.0972331000,-47.6936891500,Point Source,,,0.0003482015,typical
100.102 -54.548_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.1022022000,-54.5476166300,FR II,,,0.0004009083,typical
100.119 -48.238_[0.01222042 0.01222042] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.1185103000,-48.2379118900,FR II,,,0.0003378506,typical
100.127 -53.891_[0.01488319 0.01488319] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.1265323000,-53.8909901700,Point Source,,,0.0002758019,typical
100.240 -48.335_[0.02553742 0.02553742] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.2402032000,-48.3346241500,Bent,,,0.0003993872,typical
100.244 -53.553_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.2441436000,-53.5527894400,Point Source,,,0.0002271872,typical
100.254 -53.913_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.2539143000,-53.9125421900,Point Source,,,0.0004605838,typical
100.257 -55.129_[0.03007095 0.03007095] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.2569614000,-55.1285558700,FR II,,,0.0004446784,typical
100.298 -54.074_[0.01859202 0.01859202] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.2975856000,-54.0744302300,Bent,,,0.0004941830,typical
100.310 -53.563_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.3096956000,-53.5633778000,FR I,Bent,,0.0004188315,typical
100.387 -53.681_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.3865512000,-53.6811572900,FR I,,,0.0003088655,typical
100.410 -47.913_[0.01836479 0.01836479] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.4102002000,-47.9125871900,Bent,,,0.0004340706,typical
100.437 -53.418_[0.01000204 0.01000204] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.4368480000,-53.4181305300,Point Source,,,0.0001588822,typical
100.447 -54.351_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.4467402000,-54.3510181500,Point Source,,,0.0001525008,typical
100.480 -53.870_[0.01010842 0.01010842] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.4797217000,-53.8699350700,Point Source,,,0.0001764690,typical
100.496 -48.108_[0.01683585 0.01683585] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.4957947000,-48.1077664000,FR II,,,0.0002708522,typical
100.530 -49.081_[0.01466011 0.01466011] deg_(J0637.3-4828.Fix.1pln-forPyBDSF.FITS).fits.png,100.5296704000,-49.0810302100,FR I,Bent,,0.0002179883,typical
100.595 -53.783_[0.02502883 0.02502883] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.5954506000,-53.7830646400,Bent,,,0.0002739696,typical
100.796 -54.360_[0.01333564 0.01333564] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.7961935000,-54.3598304300,Bent,,,0.0002036353,typical
100.911 -53.978_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.9107780000,-53.9779342000,FR II,,,0.0001462023,typical
100.939 -54.063_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,100.9386988000,-54.0631294300,FR I,Bent,,0.0002190907,typical
100.996 -53.841_[0.01229078 0.01229078] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.0699505000,-53.8074904300,FR II,,,0.0550294641,typical
101.070 -53.807_[0.01893333 0.01893333] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.0699505000,-53.8074904300,FR II,,,0.0004912991,typical
101.098 -54.848_[0.00911729 0.00911729] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.0982058000,-54.8482618600,FR I,,,0.0002874188,typical
101.142 -54.503_[0.01753948 0.01753948] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.1420989000,-54.5028708300,FR II,,,0.0001413608,typical
101.186 -55.204_[0.07485648 0.07485648] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.1857395000,-55.2043362200,FR II,,,0.0003676167,typical
101.299 -53.915_[0.0158772 0.0158772] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.2991372000,-53.9154857100,Bent,,,0.0004923869,typical
101.319 -53.894_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.3193836000,-53.8940617400,Point Source,,,0.0002343294,typical
101.321 -54.280_[0.01855594 0.01855594] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.3207215000,-54.2798868200,Bent,,,0.0001981086,typical
101.329 -54.750_[0.00996164 0.00996164] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.3287727000,-54.7498013000,FR I,,,0.0002381003,typical
101.430 -53.969_[0.01186292 0.01186292] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.4298928000,-53.9687774000,Bent,,,0.0002313601,typical
101.482 -53.886_[0.01220772 0.01220772] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.4822711000,-53.8856211700,Point Source,,,0.0004111494,typical
101.537 -54.114_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.5370028000,-54.1140050800,FR II,,,0.0000053318,typical
101.545 -54.859_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.5451903000,-54.8594646000,FR I,,,0.0004773366,typical
101.589 -53.593_[0.01928788 0.01928788] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.5886410000,-53.5934177500,FR II,,,0.0004689495,typical
101.593 -54.074_[0.05425957 0.05425957] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.5927611000,-54.0738993800,Bent,,,0.0001725468,typical
101.639 -53.602_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.6386907000,-53.6020165800,Point Source,,,0.0001842826,typical
101.724 -53.504_[0.02504521 0.02504521] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.7240545000,-53.5041858400,Bent,,,0.0001886473,typical
101.746 -53.974_[0.01153162 0.01153162] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,101.7459584000,-53.9742636700,FR II,,,0.0002648020,typical
102.024 -53.832_[0.01128713 0.01128713] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.0238276000,-53.8322890200,FR II,,,0.0003064048,typical
102.079 -54.016_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.0785217000,-54.0156245400,FR I,,,0.0004689868,typical
102.129 -54.167_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.1294766000,-54.1671047400,Point Source,,,0.0002980245,typical
102.294 -54.117_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.2940103000,-54.1173396000,FR I,Bent,,0.0003396539,typical
102.387 -54.612_[0.01216798 0.01216798] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.3874187000,-54.6121273000,FR I,,,0.0002738578,typical
102.443 -54.669_[0.02150407 0.02150407] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.4429037000,-54.6686527400,Bent,,,0.0003516967,typical
102.477 -53.790_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.4770528000,-53.7901456500,Point Source,,,0.0001489535,typical
102.503 -54.930_[0.009 0.009] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.5030904000,-54.9295243100,Point Source,,,0.0004785171,typical
102.531 -54.062_[0.01672477 0.01672477] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.5306676000,-54.0623730100,Bent,,,0.0004209459,typical
102.819 -54.295_[0.01328863 0.01328863] deg_(J0645.4-5413.Fix.1pln-forPyBDSF.FITS).fits.png,102.8185362000,-54.2951614700,FR II,,,0.0003151824,typical
106.025 -60.491_[0.0152343 0.0152343] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.0250094000,-60.4905785500,FR I,,,0.0004214755,typical
106.380 -60.492_[0.009 0.009] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.3795668000,-60.4923541300,Point Source,,,0.0004134416,typical
106.527 -60.444_[0.01861133 0.01861133] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.3795668000,-60.4923541300,Point Source,,,0.0872878428,typical
106.538 -60.286_[0.02789772 0.02789772] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.5380345000,-60.2859695100,FR II,,,0.0000349526,typical
106.648 -60.194_[0.01618715 0.01618715] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.6482482000,-60.1939820900,Bent,,,0.0001246656,typical
106.700 -60.507_[0.009 0.009] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.6998233000,-60.5067931300,FR II,,,0.0002244175,typical
106.727 -59.831_[0.00920323 0.00920323] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.6482482000,-60.1939820900,Bent,,,0.3651098963,typical
106.861 -60.294_[0.00989779 0.00989779] deg_(J0712.0-6030.Fix.1pln-forPyBDSF.FITS).fits.png,106.8613153000,-60.2935331400,FR II,,,0.0004923129,typical
